E1,3,HIGHWAY,?,2,N
E2,25,HIGHWAY,1037,2,N
E3,39,AQUEDUCT,?,1,N
E5,29,,1000,2,N
E6,23,HIGHWAY,?,2,N
E7,27,HIGHWAY,990,2,N
E8,28,AQUEDUCT,1000,1,N
E9,3,HIGHWAY,1500,2,N
E10,39,AQUEDUCT,?,1,N
E11,29,HIGHWAY,1000,2,N
E12,39,R5,?,2,N
E14,6,,1200,2,N
E13,33,HIGHWAY,?,2,N
E15,28,RR,?,2,N
E16,25,HIGHWAY,1030,2,N
E17,4,RR,1000,2,N
E18,28,,1200,2,N
E19,29,HIGHWAY,1000,2,N
E20,32,HIGHWAY,1000,2,N
E21,16,RR,?,2,?
E23,1,HIGHWAY,1245,?,?
E22,24,HIGHWAY,1200,4,G
E24,45,RR,?,2,G
E25,10,RR,?,2,G
E27,39,RR,?,2,G
E26,12,RR,1150,2,G
E30,31,RR,?,2,G
E29,26,HIGHWAY,1080,2,G
E28,3,HIGJWAY,1000,2,G
E32,30,HIGHWAY,?,2,G
E31,8,nHY_RR,1161,2,G
E34,41,,4558,2,G
E33,19,HIGHWAY,1120,?,G
E36,45,,?,2,G
E35,27,HIGHWAY,1000,2,G
E38,17,HIGHWAY,?,2,G
E37,18,RR,1350,2,G
E39,25,,?,2,G
E4,27,AQUEDUCT,1092,1,N
E40,22,HIGHWAY,?,2,G
E41,11,HIGHWAY,?,2,G
E42,9,main road,2367,2,G
E44,48,HIGHWAY,?,2,G
E43,7,HIGHWAY,1040,2,G
E46,37,RR,4000,2,G
E45,14,GR,2264,?,G
E47,15,,2000,2,G
E58,33,HIGHWAY,1200,2,G
E48,38,HIGHWAY,2000,2,G
E94,13,,?,2,G
E49,34,HIGHWAY,1850,2,G
E95,16,6F_RR,1300,2,G
E87,35,RR,3000,2,G
E51,6,RR,1417,2,G
E50,21,RR,1154,?,G
E89,4,RR,1200,2,G
E53,28,RR,965,4,G
E52,2,RR,1504,?,G
E54,?,HIGHWAY,1240,?,G
E56,23,main road,?,?,G
E55,36,HIGHWAY,1730,2,G
E57,49,RR,1620,2,G
E59,43,HIGHWAY,1652,2,G
E107,39,RR,?,?,G
E92,10,RR,2210,?,G
E61,41,RR,2822,2,G
E60,24,HIRHWAY,1000,4,G
E62,37,RR,2300,2,N
E63,31,RR,2122,2,G
E65,30,WALK,?,?,G
E64,29,HIGHWAY,885,4,G
E66,32,HIGHWAY,2365,4,G
E70,27,HIGHWAY,860,4,G
E69,26,HIGHWAY,884,4,G
E101,46,HIGHWXY,1770,2,G
E73,38,HIGHWAY,1508,?,G
E72,5,HIGHWAY,2663,4,N
E67,1,HIGHWAY,1330,4,G
E75,30,HIGHWAY,2678,4,G
E74,20,HIGHWAY,2220,2,G
E71,25,HIGHWAY,860,4,G
E68,17,HIGHWAY,2250,2,G
E78,40,HIGHWAY,1365,4,G
E77,42,HIGHWAY,1450,4,N
E76,6,HIGHWAY,1500,4,G
E93,11,HIGHWAY,1690,4,N
E79,34,HIGHWAY,1800,4,G
E108,39.5,HIGHWAY,1060,4,G
E107N,39.7,RR,840,2,G
E105,38.5,HIGHWAY,1710,2,N
E103,48,HIGHWAY,2160,2,G
E97,52,HIGHWAY,?,?,G
E96,51,RR,?,?,G
E99,23,main road,1320,2,G
E98,22,HIGHWAY,900,4,G
E81,14,HIGHWAY,2423,4,G
E80,19,HIGHWAY,1031,4,G
E88,37,HIGHWAY,2300,4,N
E82,42,HIGHWAY,804,?,G
E102,47,HIGHWAY,1700,2,G
E83,1,U_HIGHWAY,1000,6,G
E86,33,HIGHWAY,980,4,G
E85,9,main road,2213,4,G
E84,24,HIGHWAY,870,6,G
E91,44,,3756,6,G
E90,7,HIGHWAY,950,6,G
E100,43,HIGHWAY,?,?,G
E109,28,,?,?,G
