1853,RR;E12,2,DECK;WOOD,?,WOOD
1856,HIGHWAY;E14,2,THROUGH;WOOD,MEDIUM,WOOD
1856,HIGHWAY;E13,2,THROUGH;WOOD,?,WOOD
1857,RR;E15,2,THROUGH;WOOD,?,WOOD
1859,HIGHWAY;E16,2,THROUGH;IRON,MEDIUM,SUSPEN
1863,RR;E17,2,THROUGH;IRON,MEDIUM,SIMPLE-T
1864,RR;E18,2,THROUGH;IRON,SHORT,SIMPLE-T
1866,HIGHWAY;E19,2,THROUGH;WOOD,MEDIUM,WOOD
1870,HIGHWAY;E20,2,THROUGH;WOOD,MEDIUM,WOOD
1874,RR;E21,2,THROUGH;IRON,?,SIMPLE-T
1876,HIGHWAY;E23,?,THROUGH;STEEL,LONG,SUSPEN
1876,HIGHWAY;E22,4,THROUGH;WOOD,SHORT,WOOD
1878,RR;E24,2,?;STEEL,?,SIMPLE-T
1882,RR;E25,2,?;STEEL,?,SIMPLE-T
1883,RR;E27,2,THROUGH;STEEL,?,SIMPLE-T
1883,RR;E26,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1884,RR;E30,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1884,HIGHWAY;E29,2,THROUGH;STEEL,MEDIUM,SUSPEN
1884,HIGHWAY;E28,2,THROUGH;STEEL,MEDIUM,ARCH
1887,HIGHWAY;E32,2,THROUGH;IRON,MEDIUM,SIMPLE-T
1887,RR;E31,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1888,RR;E34,2,THROUGH;STEEL,LONG,SIMPLE-T
1889,HIGHWAY;E33,?,THROUGH;IRON,MEDIUM,SIMPLE-T
1890,HIGHWAY;E36,2,THROUGH;IRON,SHORT,SIMPLE-T
1890,HIGHWAY;E35,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1891,HIGHWAY;E38,2,THROUGH;IRON,MEDIUM,SIMPLE-T
1891,RR;E37,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1892,HIGHWAY;E39,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1892,AQUEDUCT;E4,1,THROUGH;WOOD,SHORT,WOOD
1893,HIGHWAY;E40,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1894,HIGHWAY;E41,2,THROUGH;IRON,MEDIUM,SIMPLE-T
1895,HIGHWAY;E42,2,THROUGH;STEEL,LONG,SIMPLE-T
1909,HIGHWAY;E56,?,THROUGH;STEEL,MEDIUM,SIMPLE-T
1909,HIGHWAY;E55,2,THROUGH;STEEL,LONG,SIMPLE-T
1910,RR;E57,2,THROUGH;STEEL,LONG,CANTILEV
1911,HIGHWAY;E59,2,THROUGH;STEEL,LONG,CANTILEV
1914,RR;E107,?,?;STEEL,?,NIL
1914,RR;E92,?,THROUGH;STEEL,MEDIUM,SIMPLE-T
1915,RR;E61,2,THROUGH;STEEL,LONG,SIMPLE-T
1915,HIGHWAY;E60,4,THROUGH;STEEL,LONG,SIMPLE-T
1918,RR;E62,2,DECK;STEEL,LONG,CONT-T
1920,RR;E63,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1921,WALK;E65,?,THROUGH;STEEL,?,SUSPEN
1923,HIGHWAY;E64,4,THROUGH;STEEL,MEDIUM,ARCH
1924,HIGHWAY;E66,4,THROUGH;STEEL,MEDIUM,ARCH
1926,HIGHWAY;E70,4,THROUGH;STEEL,MEDIUM,SUSPEN
1926,HIGHWAY;E69,4,THROUGH;STEEL,MEDIUM,SUSPEN
1927,HIGHWAY;E101,2,THROUGH;STEEL,LONG,CANTILEV
1927,HIGHWAY;E73,?,THROUGH;STEEL,MEDIUM,ARCH
1927,HIGHWAY;E72,4,DECK;STEEL,MEDIUM,CANTILEV
1927,HIGHWAY;E67,4,THROUGH;STEEL,LONG,CANTILEV
1928,HIGHWAY;E75,4,DECK;STEEL,MEDIUM,ARCH
1928,HIGHWAY;E74,2,DECK;STEEL,MEDIUM,CANTILEV
1928,HIGHWAY;E71,4,THROUGH;STEEL,MEDIUM,SUSPEN
1928,HIGHWAY;E68,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1931,HIGHWAY;E78,4,THROUGH;STEEL,LONG,ARCH
1931,HIGHWAY;E77,4,THROUGH;STEEL,LONG,ARCH
1931,HIGHWAY;E76,4,THROUGH;STEEL,LONG,SUSPEN
1937,HIGHWAY;E93,4,DECK;STEEL,LONG,CONT-T
1939,HIGHWAY;E79,4,DECK;STEEL,MEDIUM,CANTILEV
1945,HIGHWAY;E108,4,DECK;STEEL,MEDIUM,CONT-T
