E39,A,25,1892,HIGHWAY,?,2,G,through with,MEDIUM,SIMPLE-T
E31,M,8,1887,RR,1161,1,G,THROUGH,MEDIUM,SIMPLE-T
E2,A,25,1819,HIGHWAY,1037,2,N,THROUGH,SHORT,WOOD
E25,M,10,1882,RR,?,2,G,?,?,SIMPLE-T
E40,M,22,1893,HIGHWAY,?,3,G,,MEDIUM,SIMPLE-T
E54,Y,?,1908,HIGHWAY,1240,?,G,,MEDIUM,SIMPLE-T
E47,M,15,1898,RR,2000,2,G,THROUGH,MEDIUM,SIMPLE-T
E51,M,6,1903,RR,1417,2,G,6HFOUGH,MEDIUM,SIMPLE-T
E23,M,1,1876,HIGHWAY,1245,?,?,1T_THROUGH,LONG,SUSPEN
E44,O,48,1896,HIGHWAY,?,2,G,TTR9UGH,LONG,SUSPEN
E52,M,2,1904,RR,1504,?,G,bWS_THROUGH,LONG,CANTILEV
E94,M,13,1901,RR,?,2,G,THROUGH,LONG,SIMPLE-T
E33,zb_M,19,1889,HIGHWAY,2042,?,G,4gl_THROUGH,MEDIUM,SIMPLE-T
E22,A,24,1876,HIGHWAY,1451,2,G,through with,SHORT,EcWJ_WOOD
E42,,9,1895,HIGHWAY,1435,2,G,C_THROUGH,LONG,SIMPLE-T
E19,A,29,1866,HIGHWAY,1000,1,N,N_THROUGH,NDDIUM,WOOR
E6,M,23,1838,HIGHWAY,?,2,N,THROUGH,?,WOOD
E58,A,33,1900,HIGHWAY,1200,2,G,,MEDIUM,SIMPLE-T
E27,A,39,1883,RR,?,1,G,,?,SIMPLE-T
E89,M,4,1904,RR,1200,3,G,THROUGH,MEDIUM,SIMPLE-T
E30,A,31,1884,RR,?,2,G,Lnw_THROUGH,MEDIUM,SIMPLE-T
E18,A,28,1864,RR,1200,2,N,THROUGH,SHORT,SIMPLE-T
E24,group o,45,1878,RR,1142,0,G,?,?,SIMPLE-T
E10,A,39,1848,AQUEDUCT,?,1,N,DECK,?,WOOD
E87,A,35,1903,RR,3000,2,G,THROUGH,MEDIUM,SIMPLE-T
E36,O,45,1890,HIGHWAY,?,2,G,THROUGH,SHORT,SIMPLE-T
E17,M,4,1863,RR,1000,2,N,THROUGH,MEDIUM,SIMPLE-T
E1,M,3,1818,HIGHWAY,?,0,N,THROUTH,SHORT,WOOD
E26,M,12,1883,RR,1150,2,G,THROUGH,MEDIUM,SIMPLE-T
E95,M,16,1903,RR,1300,2,G,THROUGH,MEDIUM,SIMPLE-T
E12,A,39,1853,,?,0,N,,,WOOD
E45,M,14,1897,RR,2264,?,G,THROUGH,?,SIMPLE-T
E11,A,29,1851,HIGHWAY,1000,0,N,THROUGH,MEDIUM,WOOD
E32,A,30,1887,HIGHWAY,?,2,G,qt_THROUGH,MEDIUM,SIMPLE-T
E49,A,34,1902,HIGHWAY,1850,2,G,THROUGH,MEDIUM,CANTILEV
E28,M,3,1884,HIGHWAY,1000,1,G,THROUGH,MEDIUM,ARCH
E7,A,27,1840,HIGHWAY,990,2,N,THT0UGH,MEDIUM,WOOD
E48,A,38,1900,HIGHWAY,2000,2,G,THROUGH,MEDIUM,SIMPLE-T
E3,A,39,1829,AQUEDUCT,?,1,N,THROUGH,?,WOOD
E29,angstrom unit,26,1884,HIGHWAY,48,2,G,G_THROUGH,MEDIUM,SUSPEN
E41,M,11,1894,HIGHWAY,?,2,G,through with,MEDIUM,SIMPLE-T
E34,O,41,1888,,4558,3,G,THROUGH,,SIMPLE-T
E9,M,3,1846,HIGHWAY,1500,2,N,THROUGH,SHORT,SUSPEN
E8,A,28,1844,AQUEDUCT,1000,2,N,THROUGH,SHORT,SUSPEN
E53,A,28,1904,RR,965,4,G,THROUGH,MEDIUM,SIMPLE-T
E14,M,6,1856,HIGHWAY,1200,2,N,,MEDIUM,WOOD
E35,A,27,1890,HIGHWAY,1000,1,G,,MEDIUM,SIMPLE-T
E13,,33,1856,HIGHWAY,2115,1,N,THROUGH,?,WOOD
E50,M,21,1903,RR,1154,?,G,THROUGH,LONG,SIMPLE-T
E5,A,29,1837,HIGHWAY,1000,0,N,THROUGH,SHORT,WOOD
E15,A,28,1857,RR,?,2,N,THROUFH,?,WOOD
E43,M,7,1896,HIGHWAY,1040,3,G,THROUGH,LONG,ARCH
E21,M,16,1874,RR,?,3,?,THROUGH,?,SIMPLE-T
E4,A,27,1892,AQUEDUCT,-172,2,N,THROUGH,SHORT,
E37,M,18,1891,RR,1350,2,G,THROUGH,MEDIUM,SIMPLE-T
E20,A,32,1870,HIGHWAY,1000,2,N,b3lF_THROUGH,MEDIUM,WOOD
E46,A,37,1897,RR,4000,2,G,DECK,LONG,SIMPLE-T
E38,M,17,1891,HIGHWAY,?,1,G,THROUGH,MEDIUM,SIMPLE-T
E16,A,25,1859,HIGHWAY,1030,1,N,THROUGH,MEDIUM,SUSPEN
