E28,M,3,HIGHWAY,1000,2,G,THROUGH,STEEL,S,ARCH
E65,A,30,WALK,?,?,G,THROUGH,STEEL,F,SUSPEN
E76,M,6,HIGHWAY,1500,4,G,THROUGH,STEEL,F,SUSPEN
E57,O,49,,1620,2,G,THROUGH,STEEL,F,CANTILEV
E96,Y,51,RR,?,?,G,THROUGH,STEEL,F,SIMPLE-T
E107N,A,39.7,RR,840,2,G,THROUGH,STEEL,S-F,SIMPLE-T
E60,A,24,H1GHWAY,1000,4,G,THROUGH,STEEL,F,SIMPLE-T
E78,O,40,HIGHWAY,1365,2,G,THROUGH,STEEL,F,ARCH
E77,O,42,HIGHWAY,1450,3,N,THROUGH,STEEL,F,ARCH
E99,M,23,HIGHWAY,1320,2,G,THROUGH,STEEL,S-F,SIMPLE-T
E21,M.,16,RR,?,4,?,THROUGH,IRON,?,SIMPLE-T
E26,M,33,RR,1150,2,G,THROUGH,STEEL,S,SIMPLE-T
E17,M,4,RR,1000,3,N,THROUGH,IRON,?,SIMPLE-T
E100,O,43,HIGHWAY,?,?,G,?,?.,F,?
E59,O,43,HIGHWAY,1652,2,G,THROUGH,STEEL,F,CANTILEV
E32,A,30,HIGHWAY,?,2,G.,THROUGH,IRON,F,SIMPLE-T
E23,M,37,HIGHWAY,1245,?,?,THROUGH,STEEL,F,SUSPEN
E13,A,33,HIGHWAY,1080,2,N,THROUGH,WOOD,S,WOOD
E73,A,38,,1508,?,G,THROUGH,STEEL,S,ARCH
E14,M,6,HIGHWAY,1200,2,N,THROUGH,WOOD,S,WOOD
E103,O,48,HIGHWAY,2160,2,G,THROUGH,,F,CANTILEV
E88,A,37,HIGHWAY,2300,4,N,DECK,STEEL,F,CONT-T
E34,O,41,RR,4558,2,G.,THROUGH,STEEL,F,SIMPLE-T
E16,A,25,HIGHWAY,1030,4,N,THROUGH,,S-F,SUSPEN
E84,A,24,H1GHWAY,870,3,G,THROUGH,STEEL,F,ARCH
E93,M,11,HIGHWAY,1690,4,N,DECK,STEEL,S-F,CONT-T
E67,M,1,HIGHWAY,1330,4,G,THROUGH,,F,CANTILEV
E64,A,29,HIGHWAY,885,4,G,THROUGH,STEEL,F,ARCH
E109,A,28,HI.,?,?,G,?,?,F,?
E38,M,17,HIGHWAY,1495,2,G,THROUGH,IRON,F,SIMPLE-T
E72,M,5,HIGHWAY,2663,4,N,DECK,STEEL,S-F,CANTILEV
E81,M,14,HIGHWAY,2423,4,G,DECK,ST.,F,CONT-T
E22,A,24,HIGHWAY,1200,4,G,THROUGH,WOOD,S.,WOOD
E101,O,46,HIGHWAY,1770,2,G,THROUGH,STEEL,S-F,CANTILEV
E4,A,35,AQUEDUCT,1092,1,N,THROUGH,WOOD,S,WOOD
E108,A,39.5,,1060,4,G,DECK,STEEL,S-F,CONT-T
E102,O,47,HIGHWAY,1700,2,G,THROUGH,STEEL,F,CONT-T
E36,O,45,HIGHWAY,1253,2,G,THROUGH,IRON,F,SIMPLE-T
E71,A,25,HIGHWAY,860,4,G,THROUGH,STEEL,S-F,SUSPEN
E41,M,-12,H1GHWAY,?,2,G,THROUGH,IRON,F,SIMPLE-T
E27,A,39,RR.,1194,2,G,THROUGH,,F,SIMPLE-T
E20,A,32,HIGHWAY,1000,2,N,THROUGH,WOOD,S,WOOD
E68,M,17,HIGHWAY,2250,3,G,THROUGH,STEEL,S,SIMPLE-T
E29,A,47,HIGHWAY,1080,4,G,THROUGH,5TEEL,?,SUSPEN
E19,A,29,HIGHWAY,1000,2,N,THROUGH,WOOD,S,WOOD
E62,A,37,RR,2300,2,N,DECK,STEEL,F,CONT-T
E90,M,7,HIGHWAY,950,6,G,THROUGH,STEEL,F,ARCH
E15,A,28,RR,1206,2,N,THROUGH,WOOD,S,WOOD
E35,A,27,,1739,2,G,THROUGH,STEEL,F,SIMPLE-T
E24,O,45,RR,1887,2,G,?,,?,SIMPLE-T
E33,M.,19,HIGHWAY,1120,?,G,THROUGH,IRON,F,SIMPLE-T
E70,A,27,HIGHWAY,860,5,G,THROUGH,STEEL,S-F,SUSPEN
E25,M,10,,?,2,G,?,STEEL,?,SIMPLE-T
E97,Y,52,HIGHWAY,?,?,G,THROUGH,STEEL,S,ARCH
E31,M,8,RR,1161,2,G,THROUGH,STEEL,S,SIMPLE-T
E105,A,38.5,HIGHWAY,1710,3,N,DECK,,S-F,CONT-T
E74,M,20,HIGHWAY,2220,3,G,DECK,,S-F,CANTILEV
E37,M,18,RR,1350,2,G,THROUGH,STEEL,S,SIMPLE-T
E83,M,1,HIGHWAY,1000,6,G,THROUGH,5TEEL,F,ARCH
E91,O,44,H1GHWAY,3756,2,G,THROUGH,STEEL,F,ARCH
E82,O,42,HIGHWAY,804,?,G,THROUGH,STEEL,F,SIMPLE-T
E55,A,36,HIGHWAY,1730,2,G,THROUGH,STEEL,F,SIMPLE-T
E30,A,31,RR,?,6,G,THROUGH,STEEL,F.,SIMPLE-T
E79,A,34,HIGHWAY,1800,4,G,DECK,STEEL,F,CANTILEV
E66,A,32,HIGHWAY,2365,4,G,THROUGH,STEEL,S,ARCH
E61,O,41,RR,2822,4,G,THROUGH,STEEL,F,SIMPLE-T
E107,A,39,RR,?,?,G,?,STEEL,F,NIL
E40,M,22,HI.,?,2,G,THROUGH,STEEL,F,SIMPLE-T
E39,A.,25,HIGHWAY,?,2,G,THROUGH,5TEEL,F,SIMPLE-T
E18,A,28,RR,1200,2,N,THROUGH,IRON,S,SIMPLE-T
E85,M,9,HIGHWAY,2213,4,G,DECK,STEEL,F,CONT-T
E98,M,22,HIGHWAY,900,4,G,THROUGH,,F,CONT-T
E80,M,19,HIGHWAY,1031,4,G,THROUGH,STEEL,F,CANTILEV
E86,A,33,,980,4,G,DECK,STEEL,S-F,CONT-T
E69,A,26,H1GHWAY,884,4,G,THROUGH,STEEL,S-F,SUSPEN
E42,M,9,HI.,2367,2,G,THROUGH,5TEEL,F,SIMPLE-T
E56,M,23,HIGHWAY,?,?,G,THROUGH,,F,SIMPLE-T
E12,A,39,RR,?,2,N,DECK,,S,WOOD
E63,A,31,,2122,2,G,THROUGH,STEEL,F,SIMPLE-T
E75,A,30,HIGHWAY,2678,4,G,DECK,STEEL,F,ARCH
E92,M,10,RR,2210,?,G,THROUGH,STEEL,F,SIMPLE-T
