3,HIGHWAY,?,2,N,WOOD,S,WOOD
25,HIGHWAY,1037,2,N,WOOD,S,WOOD
39,AQUEDUCT,?,1,N,WOOD,S,WOOD
29,HIGHWAY,1000,2,N,WOOD,due south,WOOD
23,HIGHWAY,?,2,N,WOOD,S,WOOD
27,HIGHWAY,990,2,N,WOOD,S,WOOD
28,AQUEDUCT,1000,1,N,IRON,S,SUSPEN
3,HIGHWAY,1500,2,N,IRON,S,SUSPEN
39,,?,2,N,WOOD,due south,WOOD
6,HIGHWAY,1200,2,N,WOOD,S,WOOD
33,HIGHWAY,?,2,N,WOOD,S,WOOD
28,RR,?,2,N,WOOD,S,WOOD
25,HIGHWAY,1030,2,N,IRON,D-F,SUSPEN
4,RR,1000,2,N,IRON,hAcU_?,SIMPLE-T
28,RR,1200,2,N,IRON,S,SIMPLE-T
32,HIGH3AY,1000,2,N,WOOD,S,WOOD
16,,?,2,?,IRON,?,SIMPLE-T
1,HIGHWAY,1245,?,?,STEEL,atomic number 9,SUSPEN
24,HIGHWAY,1200,4,G,WOOD,S,WOOD
45,RR,?,2,G,STEEL,d7_?,SIMPLE-T
10,RR,?,2,G,STEEL,?,SIMPLE-T
39,RR,?,2,G,STEEL,,SIMPLE-T
12,RR,1150,2,G,STEEL,S,SIMPLE-T
31,RR,?,2,G,STEEL,F,SIMPLE-T
26,HIGHWAY,1080,2,G,STEEL,,SUSPEN
3,HIGHWAY,1000,2,G,STEEL,S,ARCH
30,HIGHWAY,?,2,G,IRON,F,SIMPLE-T
8,RR,1161,2,G,STEEL,S,SIMPLE-T
41,RR,4558,2,G,STEEL,F,SIMPLE-T
19,HIGHWAY,1120,?,G,IRON,F,SIMPLE-T
45,main road,?,2,G,IRON,F,SIMPLE-T
27,HIGHWAY,1000,2,G,STEEL,F,SIMPLE-T
17,HIGHWAY,?,2,G,IRON,F,SIMPLE-T
18,rgLY_RR,1350,2,G,STEEL,tg1_S,SIMPLE-T
25,HIGHWAY,?,2,G,STEEL,F,SIMPLE-T
27,AQUEDUCT,1092,1,N,WOOD,S,WOOD
22,HIGHWAY,?,2,G,STEEL,F,SIMPLE-T
11,HIGHWAY,?,2,G,IRON,F,SIMPLE-T
9,HIGHWAY,2367,2,G,STEEL,F,SIMPLE-T
48,HIGHWAY,?,2,G,STEEL,F,SUSPEN
7,HIGHWAY,1040,2,G,STEEL,F,ARCH
37,RR,4000,2,G,STEEL,F,SIMPLE-T
14,RR,2264,?,G,STEEL,F,SIMPLE-T
15,RR,2000,2,G,STEEL,S,SIMPLE-T
33,HIGHWAY,1200,2,G,STEEL,F,SIMPLE-T
38,HIGHWAY,2000,2,G,STEEL,F,SIMPLE-T
13,RR,?,2,G,STEEL,F,SIMPLE-T
34,HOGHWAY,1850,2,G,STEEL,,CANTILEV
16,RR,1300,2,G,STEEL,S,SIMPLE-T
35,,3000,2,G,STEEL,,SIMPLE-T
6,RR,1417,2,G,STEEL,F,SIMPLE-T
21,RR,1154,?,G,STEEL,F,SIMPLE-T
4,RR,1200,2,G,STEEL,S-F,SIMPLE-T
28,RR,965,4,G,STEEL,S-F,SIMPLE-T
2,RR,1504,?,G,STEEL,,CANTILEV
?,HIGHWAY,1240,?,G,STEEL,F,SIMPLE-T
23,HIGHWAY,?,?,G,STEEL,F,SIMPLE-T
36,HIGHWAY,1730,2,G,STEEL,F,SIMPLE-T
49,,1620,2,G,STEEL,F,CANTILEV
43,HIBNWAY,1652,2,G,STEEL,F,CANTILEV
39,,?,?,G,STEEL,F,NIL
10,RR,2210,?,G,STEEL,F,SIMPLE-T
41,RR,2822,2,G,STEEL,,SIMPLE-T
24,HIGHWAY,1000,4,G,STEEL,F,SIMPLE-T
37,RR,2300,2,N,STEEL,F,CONT-T
31,RR,2122,2,G,STEEL,F,SIMPLE-T
