E1,M,3,1818,HIGHWAY,?,THROUGH,WOOD,SHORT,S,WOOD
E2,A,25,1819,HIGHWAY,1037,THROUGH,WOOD,SHORT,S,WOOD
E3,A,70,1829,AQUEDUXT,?,THROUGH,WOOD,?,S,WOOD
E5,A,29,1837,HIGHWEY,1000,THROUGH,WOOD,SHORT,S,WOOD
E6,M,21,1838,HIGHWAY,?,THROUGH,WOOD,?,S,WOOD
E7,A,27,1840,HIGHWAY,990,THROUGH,WOOD,MEDIUM,S,WOOD
E8,A,13,1844,AQUEDUCT,1000,THROUGH,IRON,SHORT,S,SUSPEN
E9,M,39,1846,HIGHWAY,1500,THROUGH,IRON,SHORT,S,SUSPEN
E10,A,39,1848,AQUEDUCT,?,DECK,WOOD,?,S,WOOD
E11,A,29,1851,HIJHWAY,1000,THROUGH,WOOD,MEDIUM,S,WOOD
E12,A,21,1853,R4,?,DECK,WOOD,?,S,WOOD
E14,M,20,1856,HIGHWAI,1200,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,90,1856,HIGHWEY,?,THROUGH,WOOD,?,S,WOOD
E15,A,81,1857,ER,?,THROUGH,WOOD,?,S,WOOD
E16,A,25,1859,main road,1030,THROUGH,IRON,MEDIUM,S-F,SUSPEN
E17,M,80,1863,RR,1000,THROUGH,IRON,MEDIUM,?,SIMPLE-T
E18,A,28,1864,R4,1200,THROUGH,IRON,SHORT,S,SIMPLE-T
E19,A,29,1866,HIGHWAY,1000,THROUGH,WOOD,MEDIUM,S,WOOD
E20,A,32,1870,HIJHWAY,1000,THROUGH,WOOD,MEDIUM,S,WOOD
E21,M,91,1874,RR,?,THROUGH,IRON,?,?,SIMPLE-T
E23,M,1,1876,HIGHWAY,1245,THROUGH,STEEL,LONG,F,SUSPEN
E22,A,24,1876,HYGHWAY,1200,THROUGH,WOOD,SHORT,S,WOOD
E24,O,82,1878,TR,?,?,STEEL,?,?,SIMPLE-T
E25,M,16,1882,RR,?,?,STEEL,?,?,SIMPLE-T
E27,A,89,1883,ER,?,THROUGH,STEEL,?,F,SIMPLE-T
E26,M,12,1883,RR,1150,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E30,A,31,1884,RR,?,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E29,A,26,1884,HIJHWAY,1080,THROUGH,STEEL,MEDIUM,?,SUSPEN
E28,M,47,1884,main road,1000,THROUGH,STEEL,MEDIUM,S,ARCH
E32,A,30,1887,HYGHWAY,?,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E31,M,8,1887,RF,1161,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E34,O,41,1888,RR,4558,THROUGH,STEEL,LONG,F,SIMPLE-T
E33,M,75,1889,HIGHWAY,1120,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E36,O,45,1890,HIGHWAY,?,THROUGH,IRON,SHORT,F,SIMPLE-T
E35,A,72,1890,HIGHWAY,1000,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E38,M,17,1891,HIGHWAY,?,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E37,M,24,1891,RR,1350,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E39,A,92,1892,HIGHWAY,?,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E4,A,27,1892,AQUEDUCT,1092,THROUGH,WOOD,SHORT,S,WOOD
E40,M,22,1893,HIGHWAY,?,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E41,M,11,1894,HIGHWAY,?,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E42,M,9,1895,HIGHWAY,2367,THROUGH,STEEL,LONG,F,SIMPLE-T
E44,O,48,1896,HIJHWAY,?,THROUGH,STEEL,LONG,F,SUSPEN
E43,M,46,1896,main road,1040,THROUGH,STEEL,LONG,F,ARCH
E46,A,37,1897,RR,4000,DECK,STEEL,LONG,F,SIMPLE-T
E45,M,14,1897,RR,2264,THROUGH,STEEL,?,F,SIMPLE-T
E47,M,15,1898,RR,2000,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E58,A,33,1900,HIGHWAY,1200,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E48,A,8,1900,HIGHWAY,2000,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E94,M,73,1901,RT,?,THROUGH,STEEL,LONG,F,SIMPLE-T
E49,A,34,1902,HIJHWAY,1850,THROUGH,STEEL,MEDIUM,F,CANTILEV
E95,M,16,1903,RR,1300,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E87,A,18,1903,RR,3000,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E51,M,6,1903,R5,1417,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E50,M,21,1903,RR,1154,THROUGH,STEEL,LONG,F,SIMPLE-T
E89,M,4,1904,RT,1200,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E53,A,28,1904,RR,965,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E52,M,2,1904,RR,1504,THROUGH,STEEL,LONG,F,CANTILEV
E54,Y,?,1908,JIGHWAY,1240,?,STEEL,MEDIUM,F,SIMPLE-T
E56,M,23,1909,HIGHWAY,?,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E55,A,22,1909,HIGHWAY,1730,THROUGH,STEEL,LONG,F,SIMPLE-T
E57,O,49,1910,RR,1620,THROUGH,STEEL,LONG,F,CANTILEV
E59,O,84,1911,HIGHWAY,1652,THROUGH,STEEL,LONG,F,CANTILEV
E107,A,84,1914,RR,?,?,STEEL,?,F,NIL
E92,M,94,1914,RR,2210,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E61,O,75,1915,R3,2822,THROUGH,STEEL,LONG,F,SIMPLE-T
E60,A,24,1915,main road,1000,THROUGH,STEEL,LONG,F,SIMPLE-T
E62,A,37,1918,RF,2300,DECK,STEEL,LONG,F,CONT-T
E63,A,31,1920,RR,2122,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E65,A,75,1921,WZLK,?,THROUGH,STEEL,?,F,SUSPEN
E64,A,29,1923,HIGHQA7,885,THROUGH,STEEL,MEDIUM,F,ARCH
E66,A,18,1924,HIGHWAY,2365,THROUGH,STEEL,MEDIUM,S,ARCH
E70,A,38,1926,HIGHWAY,860,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E69,A,26,1926,HIGHWAY,884,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E101,O,46,1927,HIGHWAY,1770,THROUGH,STEEL,LONG,S-F,CANTILEV
E73,A,-5,1927,BIGHWZY,1508,THROUGH,STEEL,MEDIUM,S,ARCH
E72,M,83,1927,HIGHWAY,2663,DECK,STEEL,MEDIUM,S-F,CANTILEV
E67,M,1,1927,main road,1330,THROUGH,STEEL,LONG,F,CANTILEV
E75,A,30,1928,HIGHWAY,2678,DECK,STEEL,MEDIUM,F,ARCH
