39,WOOD,E12,1853,2
6,WOOD,E14,1856,2
33,WOOD,E13,1856,2
28,WOOD,E15,1857,2
25,IRON,E16,1859,2
4,IRON,E17,1863,2
28,IRON,E18,1864,2
29,WOOD,E19,1866,2
32,WOOD,E20,1870,2
16,IRON,E21,1874,2
1,STEEL,E23,1876,?
24,WOOD,E22,1876,4
45,STEEL,E24,1878,2
10,STEEL,E25,1882,2
39,STEEL,E27,1883,2
12,STEEL,E26,1883,2
31,STEEL,E30,1884,2
26,STEEL,E29,1884,2
3,STEEL,E28,1884,2
30,IRON,E32,1887,2
8,STEEL,E31,1887,2
41,STEEL,E34,1888,2
19,IRON,E33,1889,?
45,IRON,E36,1890,2
27,STEEL,E35,1890,2
17,IRON,E38,1891,2
18,STEEL,E37,1891,2
25,STEEL,E39,1892,2
27,WOOD,E4,1892,1
22,STEEL,E40,1893,2
11,IRON,E41,1894,2
9,STEEL,E42,1895,2
3,WOOD,E1,1818,2
25,WOOD,E2,1819,2
39,WOOD,E3,1829,1
29,WOOD,E5,1837,2
23,WOOD,E6,1838,2
27,WOOD,E7,1840,2
28,IRON,E8,1844,1
3,IRON,E9,1846,2
39,WOOD,E10,1848,1
29,WOOD,E11,1851,2
48,STEEL,E44,1896,2
7,STEEL,E43,1896,2
37,STEEL,E46,1897,2
14,STEEL,E45,1897,?
15,STEEL,E47,1898,2
33,STEEL,E58,1900,2
38,STEEL,E48,1900,2
13,STEEL,E94,1901,2
34,STEEL,E49,1902,2
16,STEEL,E95,1903,2
35,STEEL,E87,1903,2
6,STEEL,E51,1903,2
21,STEEL,E50,1903,?
4,STEEL,E89,1904,2
28,STEEL,E53,1904,4
2,STEEL,E52,1904,?
?,STEEL,E54,1908,?
