S,DECK,39,2,N,WOOD,1853
S,THROUGH,6,2,N,WOOD,1856
S,THROUGH,33,2,N,WOOD,1856
S,THROUGH,28,2,N,WOOD,1857
S-F,THROUGH,25,2,N,IRON,1859
?,THROUGH,4,2,N,IRON,1863
S,THROUGH,28,2,N,IRON,1864
S,THROUGH,29,2,N,WOOD,1866
S,THROUGH,32,2,N,WOOD,1870
?,THROUGH,16,2,?,IRON,1874
F,THROUGH,1,?,?,STEEL,1876
S,THROUGH,24,4,G,WOOD,1876
?,?,45,2,G,STEEL,1878
?,?,10,2,G,STEEL,1882
F,THROUGH,39,2,G,STEEL,1883
S,THROUGH,12,2,G,STEEL,1883
F,THROUGH,31,2,G,STEEL,1884
?,THROUGH,26,2,G,STEEL,1884
S,THROUGH,3,2,G,STEEL,1884
F,THROUGH,30,2,G,IRON,1887
S,THROUGH,8,2,G,STEEL,1887
F,THROUGH,41,2,G,STEEL,1888
F,THROUGH,19,?,G,IRON,1889
F,THROUGH,45,2,G,IRON,1890
F,THROUGH,27,2,G,STEEL,1890
F,THROUGH,17,2,G,IRON,1891
S,THROUGH,18,2,G,STEEL,1891
F,THROUGH,25,2,G,STEEL,1892
S,THROUGH,27,1,N,WOOD,1892
F,THROUGH,22,2,G,STEEL,1893
F,THROUGH,11,2,G,IRON,1894
F,THROUGH,9,2,G,STEEL,1895
S,THROUGH,3,2,N,WOOD,1818
S,THROUGH,25,2,N,WOOD,1819
S,THROUGH,39,1,N,WOOD,1829
S,THROUGH,29,2,N,WOOD,1837
S,THROUGH,23,2,N,WOOD,1838
S,THROUGH,27,2,N,WOOD,1840
S,THROUGH,28,1,N,IRON,1844
S,THROUGH,3,2,N,IRON,1846
S,DECK,39,1,N,WOOD,1848
S,THROUGH,29,2,N,WOOD,1851
F,THROUGH,48,2,G,STEEL,1896
F,THROUGH,7,2,G,STEEL,1896
F,DECK,37,2,G,STEEL,1897
F,THROUGH,14,?,G,STEEL,1897
S,THROUGH,15,2,G,STEEL,1898
F,THROUGH,33,2,G,STEEL,1900
F,THROUGH,38,2,G,STEEL,1900
F,THROUGH,13,2,G,STEEL,1901
F,THROUGH,34,2,G,STEEL,1902
S,THROUGH,16,2,G,STEEL,1903
S,THROUGH,35,2,G,STEEL,1903
F,THROUGH,6,2,G,STEEL,1903
F,THROUGH,21,?,G,STEEL,1903
S-F,THROUGH,4,2,G,STEEL,1904
S-F,THROUGH,28,4,G,STEEL,1904
F,THROUGH,2,?,G,STEEL,1904
F,?,?,?,G,STEEL,1908
