Source\Target,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.,bridges_B1.
bridges_A1.,1.0,0.0,0.3442623,0.0,0.5945946,0.0,0.0,0.0,0.0,0.0,0.0
bridges_A1.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridges_A1.,0.3442623,0.0,1.0,0.0,0.31578946,0.08928572,0.015384615,0.015151516,0.014705882,0.016666668,0.011904762
bridges_A1.,0.5963303,0.0,0.24489796,0.0,0.4673913,0.0,0.0,0.0,0.0,0.0,0.0
bridges_A1.,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.035714287,0.0,0.0
bridges_A1.,0.5945946,0.0,0.31578946,0.0,1.0,0.01369863,0.012820513,0.012658228,0.012345679,0.01369863,0.010309278
bridges_A1.,0.0,0.0,0.08928572,0.0,0.01369863,1.0,0.071428575,0.06666667,0.05882353,0.11111111,0.030303031
bridges_A1.,0.0,0.0,0.01724138,0.0,0.014084507,0.14285715,0.083333336,0.07692308,0.06666667,0.14285715,0.032258064
bridges_A1.,0.0,0.0,0.014705882,0.035714287,0.012345679,0.05882353,0.045454547,0.09090909,1.0,0.05882353,0.05
bridges_A1.,0.0,0.0,0.016666668,0.0,0.01369863,0.11111111,0.071428575,0.06666667,0.05882353,1.0,0.030303031
bridges_A1.,0.0,0.0,0.011904762,0.0,0.010309278,0.030303031,0.02631579,0.14285715,0.05,0.030303031,1.0
