E1,M,3,HIGHWAY,?,2,THROUGH,WOOD,SHORT,S,WOOD
E2,A,25,HIGHWAY,1037,2,THROUGH,WOOD,SHORT,S,WOOD
E3,A,39,AQUEDUCT,?,1,THROUGH,WOOD,?,S,WOOD
E5,A,29,HIGHWAY,1000,2,THROUGH,WOOD,SHORT,S,WOOD
E6,M,23,HIGHWAY,?,2,THROUGH,WOOD,?,S,WOOD
E7,A,27,HIGHWAY,990,2,THROUGH,WOOD,MEDIUM,S,WOOD
E8,A,28,AQUEDUCT,1000,1,THROUGH,IRON,SHORT,S,SUSPEN
E9,M,3,HIGHWAY,1500,2,THROUGH,IRON,SHORT,S,SUSPEN
E10,A,39,AQUEDUCT,?,1,DECK,WOOD,?,S,WOOD
E11,A,29,HIGHWAY,1000,2,THROUGH,WOOD,MEDIUM,S,WOOD
E12,A,39,RR,?,2,DECK,WOOD,?,S,WOOD
E14,M,6,HIGHWAY,1200,2,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,33,HIGHWAY,?,2,THROUGH,WOOD,?,S,WOOD
E15,A,28,RR,?,2,THROUGH,WOOD,?,S,WOOD
E16,A,25,HIGHWAY,1030,2,THROUGH,IRON,MEDIUM,S-F,SUSPEN
E17,M,4,RR,1000,2,THROUGH,IRON,MEDIUM,?,SIMPLE-T
E18,A,28,RR,1200,2,THROUGH,IRON,SHORT,S,SIMPLE-T
E19,A,29,HIGHWAY,1000,2,THROUGH,WOOD,MEDIUM,S,WOOD
E20,A,32,HIGHWAY,1000,2,THROUGH,WOOD,MEDIUM,S,WOOD
E21,M,16,RR,?,2,THROUGH,IRON,?,?,SIMPLE-T
E23,M,1,HIGHWAY,1245,?,THROUGH,STEEL,LONG,F,SUSPEN
E22,A,24,HIGHWAY,1200,4,THROUGH,WOOD,SHORT,S,WOOD
E24,O,45,RR,?,2,?,STEEL,?,?,SIMPLE-T
E25,M,10,RR,?,2,?,STEEL,?,?,SIMPLE-T
E27,A,39,RR,?,2,THROUGH,STEEL,?,F,SIMPLE-T
E26,M,12,RR,1150,2,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E30,A,31,RR,?,2,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E29,A,26,HIGHWAY,1080,2,THROUGH,STEEL,MEDIUM,?,SUSPEN
E28,M,3,HIGHWAY,1000,2,THROUGH,STEEL,MEDIUM,S,ARCH
E32,A,30,HIGHWAY,?,2,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E31,M,8,RR,1161,2,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E34,O,41,RR,4558,2,THROUGH,STEEL,LONG,F,SIMPLE-T
E33,M,19,HIGHWAY,1120,?,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E36,O,45,HIGHWAY,?,2,THROUGH,IRON,SHORT,F,SIMPLE-T
E35,A,27,HIGHWAY,1000,2,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E38,M,17,HIGHWAY,?,2,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E37,M,18,RR,1350,2,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E39,A,25,HIGHWAY,?,2,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E4,A,27,AQUEDUCT,1092,1,THROUGH,WOOD,SHORT,S,WOOD
E40,M,22,HIGHWAY,?,2,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E41,M,11,HIGHWAY,?,2,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E42,M,9,HIGHWAY,2367,2,THROUGH,STEEL,LONG,F,SIMPLE-T
E44,O,48,HIGHWAY,?,2,THROUGH,STEEL,LONG,F,SUSPEN
E43,M,7,HIGHWAY,1040,2,THROUGH,STEEL,LONG,F,ARCH
E46,A,37,RR,4000,2,DECK,STEEL,LONG,F,SIMPLE-T
E45,M,14,RR,2264,?,THROUGH,STEEL,?,F,SIMPLE-T
